"agno","mes","dia","valor","sitio"
1966,2,1,0,"Pudahuel Santiago"
1966,3,1,0,"Pudahuel Santiago"
1966,4,1,11.8,"Pudahuel Santiago"
1966,6,1,72.2,"Pudahuel Santiago"
1966,9,1,0,"Pudahuel Santiago"
1966,10,1,3.4,"Pudahuel Santiago"
1967,3,1,0,"Pudahuel Santiago"
1967,4,1,0,"Pudahuel Santiago"
1967,5,1,0,"Pudahuel Santiago"
1967,6,1,0,"Pudahuel Santiago"
1967,7,1,0,"Pudahuel Santiago"
1967,8,1,0,"Pudahuel Santiago"
1967,9,1,0,"Pudahuel Santiago"
1967,10,1,0,"Pudahuel Santiago"
1967,11,1,0,"Pudahuel Santiago"
1967,12,1,0,"Pudahuel Santiago"
1968,1,1,0,"Pudahuel Santiago"
1968,2,1,0,"Pudahuel Santiago"
1968,3,1,0,"Pudahuel Santiago"
1968,4,1,5.8,"Pudahuel Santiago"
1968,5,1,0,"Pudahuel Santiago"
1968,6,1,7.6,"Pudahuel Santiago"
1968,7,1,2,"Pudahuel Santiago"
1968,8,1,7.4,"Pudahuel Santiago"
1968,9,1,18.6,"Pudahuel Santiago"
1968,10,1,0,"Pudahuel Santiago"
1968,11,1,0,"Pudahuel Santiago"
1968,12,1,0,"Pudahuel Santiago"
1969,1,1,0,"Pudahuel Santiago"
1969,2,1,0,"Pudahuel Santiago"
1969,3,1,0,"Pudahuel Santiago"
1969,4,1,7.5,"Pudahuel Santiago"
1969,5,1,15.3,"Pudahuel Santiago"
1969,6,1,75.1,"Pudahuel Santiago"
1969,7,1,39.3,"Pudahuel Santiago"
1969,8,1,0,"Pudahuel Santiago"
1969,9,1,0,"Pudahuel Santiago"
1969,10,1,6.4,"Pudahuel Santiago"
1969,11,1,0,"Pudahuel Santiago"
1969,12,1,0,"Pudahuel Santiago"
1970,1,1,0,"Pudahuel Santiago"
1970,2,1,0,"Pudahuel Santiago"
1970,3,1,0,"Pudahuel Santiago"
1970,4,1,0,"Pudahuel Santiago"
1970,5,1,16,"Pudahuel Santiago"
